,id,x,y,type
1945,cluster_256579491_359936,11350.10,15314.20,priority
1946,cluster_256697261_256697580,14332.59,16608.18,right_before_left
1947,cluster_258346775_2665408833,13836.14,17496.26,right_before_left
1948,cluster_259083791_585624,14481.79,15799.46,traffic_light
1949,cluster_265581200_268181323,11293.45,19982.38,priority
1950,cluster_265876583_267096499,12145.86,15372.52,priority
1951,cluster_266359551_295102076,14425.23,19774.69,priority
1952,cluster_266398232_266400738,13665.41,18464.60,right_before_left
1953,cluster_2664872747_2664872749_2664872750,14078.66,15835.40,right_before_left
1954,cluster_267096412_267096416,12167.06,15358.64,priority
1955,cluster_2671559708_2671559717,13444.85,19148.95,priority
1956,cluster_26718385_738066527_738066531_738066575,13794.50,17102.27,priority
1957,cluster_26953399_276294436,13310.95,17873.54,priority
1958,cluster_26953586_315504367_315504368_315504445,13302.44,18468.05,traffic_light
1959,cluster_26953588_315504042_318260729,13279.15,18567.22,priority
1960,cluster_26953610_659558071,13055.40,18954.66,priority
1961,cluster_27188970_765964530,12877.31,17447.16,traffic_light
1962,cluster_279023253_330969642,14855.62,18918.94,traffic_light
1963,cluster_279530432_279532704,15053.19,17430.47,priority
1964,cluster_280952854_83549952,14513.24,15102.08,priority
1965,cluster_287146828_32996268,13387.54,16603.98,priority
1966,cluster_289904002_65186812,13179.08,19193.55,priority
1967,cluster_289904760_717383536,13395.58,19289.31,priority
1968,cluster_295101964_295101987,14595.73,19601.92,priority
1969,cluster_295102016_295102021,14464.83,19417.62,priority
1970,cluster_2979782306_660852066,14704.09,18554.62,priority
1971,cluster_2979782323_660852057,14741.54,18562.30,priority
1972,cluster_31920007_722583523,11215.03,15099.59,priority
1973,cluster_320036185_320036186_320036191_52155966_696501510,11513.56,16185.60,priority
1974,cluster_32248903_32248944,11536.31,15492.77,priority
1975,cluster_32248948_359937,11488.59,15218.26,priority
1976,cluster_32248949_41003119_76598881,11797.20,15621.42,traffic_light
1977,cluster_32319776_32319789,13604.66,16786.90,priority
1978,cluster_32524342_32524343_32524497,14024.75,15842.05,traffic_light
1979,cluster_34028733_51232056,10162.84,15713.47,priority
1980,cluster_34212264_34212546,12106.88,15400.19,traffic_light
1981,cluster_34212441_40861513_76598866,11938.52,15512.56,traffic_light
1982,cluster_359931_738659973,11349.60,15015.52,priority
1983,cluster_36141229_411714662,12105.22,15941.86,priority
1984,cluster_394938388_62428099,14146.31,16791.91,priority
1985,cluster_41008927_411714659,12151.22,15969.86,traffic_light
1986,cluster_411714660_411714664,12182.16,15988.49,traffic_light
1987,cluster_423179_457938,11252.09,17598.37,priority
1988,cluster_449227_449228,14121.36,15399.19,priority
1989,cluster_451833475_53215711_769392811_769392813_913262269,11297.60,15689.47,traffic_light
1990,cluster_52155630_52155637,11240.96,16110.68,priority
1991,cluster_52155881_52155885,11660.22,16547.05,priority
1992,cluster_573820375_573820379,10017.87,16360.34,priority
1993,cluster_60220315_60220316,11487.95,16992.86,priority
1994,cluster_627050006_765964500,12835.14,17552.08,priority
1995,cluster_654454038_661087237,14860.71,18064.92,priority
1996,cluster_654454041_661087238,14796.04,18062.42,priority
1997,cluster_654454044_661087333,14733.46,18063.45,priority
1998,cluster_660192264_660192265,11624.19,18022.68,traffic_light
1999,cluster_717383521_717383527,13432.46,19187.93,priority
2000,cluster_725407716_725407719,11158.23,17798.05,priority
